LINEARID,FULLNAME,RTTYP,MTFCC,COUNTYFP,STATE_ID,YEAR
1107062572199,Old Airport Rd,M,S1400,013,2,2023
11051102840,Old School Rd,M,S1710,013,2,2023
1107062368587,Cannery Loop Rd E,M,S1400,013,2,2023
11051102774,N Main St,M,S1400,013,2,2023
11051102775,S Main St,M,S1400,013,2,2023
11051102827,W Lagoon Rd,M,S1400,013,2,2023
11051102850,Buckner St,M,S1400,013,2,2023
11051102978,Frosty Mountain Rd,M,S1500,013,2,2023
1105598215341,Reeve Ave,M,S1400,013,2,2023
11012814314439,Heart Lake Rd,M,S1400,013,2,2023
11051103139,NA,NA,S1710,013,2,2023
11051103132,NA,NA,S1710,013,2,2023
11051102979,Mountain Valley Rd,M,S1400,013,2,2023
11051102931,Isanoski Rd,M,S1400,013,2,2023
11051102834,Pavlof Ave,M,S1400,013,2,2023
1103676433074,Trailer Park Rd,M,S1400,013,2,2023
11051102940,Blinn Lake Loop,M,S1710,013,2,2023
1107062376957,Landfill Access Rd,M,S1400,013,2,2023
1108445841334,Boardwalk,M,S1710,013,2,2023
11051102893,Squirrel Rd,M,S1400,013,2,2023
11051102957,Trout Creek Rd,M,S1500,013,2,2023
1107062359130,Swede Rd,M,S1400,013,2,2023
11051102816,Trout Trl,M,S1500,013,2,2023
11051102939,Truesdell Dr,M,S1400,013,2,2023
11051102766,Foot Trl,M,S1710,013,2,2023
11051102764,Foot Trl,M,S1710,013,2,2023
11051103088,NA,NA,S1750,013,2,2023
11051103049,NA,NA,S1740,013,2,2023
11033193141908,NA,NA,S1500,013,2,2023
11033193138816,NA,NA,S1500,013,2,2023
11051102847,Airport Rd,M,S1400,013,2,2023
1107062561320,Delta Creek Rd,M,S1400,013,2,2023
11051102923,Boardwalk,M,S1710,013,2,2023
11051102912,Boardwalk,M,S1710,013,2,2023
1107062586013,Heart Lake Rd,M,S1400,013,2,2023
11019626120875,Akun Airport Rd,M,S1400,013,2,2023
11051102972,Baldy Mountain Rd,M,S1500,013,2,2023
1102200396840,NA,NA,S1740,013,2,2023
11031807769799,Tolstoi Ave,M,S1400,013,2,2023
11033747045107,NA,NA,S1500,013,2,2023
1102200397069,NA,NA,S1500,013,2,2023
1107062368483,Cannery Row,M,S1400,013,2,2023
1107077968096,NA,NA,S1750,013,2,2023
11051102743,A St,M,S1400,013,2,2023
1103931604889,NA,NA,S1750,013,2,2023
11033747045242,NA,NA,S1500,013,2,2023
11051102786,Denis Way,M,S1400,013,2,2023
11051102863,Krukoff St,M,S1400,013,2,2023
11051102985,High Russell Creek Rd,M,S1400,013,2,2023
1103930551109,Rams Crk Rd,M,S1400,013,2,2023
11010952320729,Storseth Rd,M,S1400,013,2,2023
11051102755,Dump Rd,M,S1400,013,2,2023
11051102934,Ptarmigan Dr,M,S1710,013,2,2023
11051102839,School Rd,M,S1710,013,2,2023
1106087424285,Veniamov Cir,M,S1400,013,2,2023
11033746742478,Sand Point Ave,M,S1400,013,2,2023
1102200397015,NA,NA,S1740,013,2,2023
1102525382620,NA,NA,S1500,013,2,2023
11051102763,Foot Trl,M,S1710,013,2,2023
11051102930,Henderson Ct,M,S1400,013,2,2023
1104474004714,NA,NA,S1710,013,2,2023
11051102772,Jeep Trl,M,S1500,013,2,2023
11033746761658,Mitchell Ave,M,S1400,013,2,2023
1104693017913,NA,NA,S1500,013,2,2023
11051102758,Foot Trl,M,S1710,013,2,2023
11033380826972,Baldy Village Rd,M,S1500,013,2,2023
11051103107,NA,NA,S1500,013,2,2023
11051102769,Foot Trl,M,S1710,013,2,2023
11051102841,Solcum Dr,M,S1400,013,2,2023
11051102757,Foot Trl,M,S1710,013,2,2023
11051102835,Peters Rd,M,S1400,013,2,2023
1102200396971,NA,NA,S1750,013,2,2023
11033193139027,NA,NA,S1500,013,2,2023
11051103043,Faa Road 01,M,S1400,013,2,2023
1103940110186,Park Ave,M,S1400,013,2,2023
11051102869,Sherman Dr,M,S1710,013,2,2023
11051102917,Boardwalk,M,S1710,013,2,2023
11051103140,NA,NA,S1710,013,2,2023
11051103135,NA,NA,S1710,013,2,2023
11051102825,Church Rd,M,S1710,013,2,2023
1103931596600,Dennis Gould Rd,M,S1400,013,2,2023
11051102949,Boat Harbor Rd,M,S1400,013,2,2023
1106087408421,Flying Tiger Way,M,S1400,013,2,2023
1103671194223,NA,NA,S1500,013,2,2023
1103671289628,Nagai St,M,S1400,013,2,2023
11051102783,Beach Rd,M,S1400,013,2,2023
11051102865,Outpost Rd,M,S1500,013,2,2023
11051102819,Balboa Ct,M,S1400,013,2,2023
1103672890275,Nagai Ave,M,S1400,013,2,2023
11051102915,Boardwalk,M,S1710,013,2,2023
1108445841338,Boardwalk,M,S1710,013,2,2023
11031807769634,Lower Russell Creek Rd,M,S1400,013,2,2023
1103939988762,NA,NA,S1740,013,2,2023
1107062359924,Peter Pan Dr,M,S1400,013,2,2023
11051102756,Dump Rd,M,S1500,013,2,2023
1108445841336,Boardwalk,M,S1710,013,2,2023
1104474004716,NA,NA,S1710,013,2,2023
11051103131,NA,NA,S1710,013,2,2023
11051102909,Boardwalk,M,S1710,013,2,2023
11031807769652,Port Moller Facilities Rd,M,S1640,013,2,2023
11033193354679,NA,NA,S1500,013,2,2023
1103942382848,B Rd,M,S1400,013,2,2023
11051102977,Cemetery Access Trl,M,S1710,013,2,2023
11014059014179,NA,NA,S1400,013,2,2023
11051102876,Bechevin Rd,M,S1400,013,2,2023
11051102802,Otter Rd,M,S1400,013,2,2023
